Contributors,Stars,Readme,Commits,Pull_reqs,Branches,Watchers
3999.0,309.0,6216.0,25355.0,89.0,5.0,8.4
605.0,249.0,4672.0,3019.0,25.0,1.0,4.5
289.0,157.0,2910.0,3085.0,152.0,44.0,6.0
1361.0,144.0,3324.0,12812.0,98.0,49.0,6.6
2396.0,141.0,3495.0,78840.0,245.0,33.0,8.5
1108.0,139.0,5785.0,19337.0,78.0,57.0,7.2
1096.0,137.0,1830.0,5200.0,16.0,12.0,8.6
439.0,126.0,22750.0,892.0,14.0,2.0,6.6
169.0,117.0,2276.0,1654.0,38.0,4.0,5.4
1498.0,103.0,9663.0,5481.0,562.0,1.0,2.6
139.0,97.8,69564.0,1318.0,22.0,1.0,5.3
22.0,95.7,1990.0,253.0,0.0,2.0,5.3
1110.0,95.2,6167.0,3207.0,0.0,6.0,3.0
429.0,92.6,76542.0,1796.0,35.0,2.0,3.5
1091.0,91.5,2908.0,61145.0,145.0,387.0,2.9
207.0,90.8,1037.0,3591.0,5.0,1.0,4.5
121.0,89.9,1545.0,4209.0,1.0,25.0,4.0
534.0,86.7,2264.0,17643.0,119.0,28.0,2.7
15600.0,86.5,757.0,900539.0,0.0,1.0,6.9
2062.0,84.9,3705.0,19379.0,84.0,110.0,3.7
75.0,82.7,71631.0,280.0,59.0,2.0,4.4
928.0,80.7,3180.0,23166.0,64.0,167.0,2.8
325.0,79.3,51038.0,1430.0,43.0,2.0,5.2
12.0,78.1,11174.0,296.0,85.0,1.0,4.8
787.0,76.0,6986.0,2493.0,108.0,6.0,1.8
545.0,70.6,51038.0,2132.0,82.0,2.0,2.1
199.0,69.6,18893.0,905.0,147.0,8.0,1.2
1464.0,69.0,1405.0,42513.0,176.0,37.0,3.4
124.0,68.8,4602.0,2063.0,1.0,1.0,3.6
150.0,68.2,34746.0,1185.0,89.0,2.0,2.2
2645.0,67.7,16720.0,29600.0,262.0,32.0,2.9
428.0,67.0,431.0,1419.0,17.0,7.0,3.3
96.0,64.8,6359.0,456.0,11.0,6.0,2.4
2446.0,63.2,1933.0,88446.0,900.0,40.0,3.1
112.0,63.2,10007.0,901.0,0.0,1.0,5.4
6.0,62.1,4102.0,64.0,16.0,6.0,1.4
87.0,61.9,11055.0,790.0,126.0,4.0,2.5
572.0,61.6,1144.0,4198.0,219.0,124.0,3.0
714.0,61.6,85133.0,17560.0,565.0,5.0,1.8
60.0,60.2,17255.0,379.0,23.0,1.0,2.3
1578.0,59.7,5287.0,8978.0,75.0,17.0,4.1
251.0,58.6,15751.0,1624.0,30.0,5.0,1.2
1221.0,58.4,1467.0,31921.0,106.0,5.0,2.5
444.0,58.0,3515.0,29642.0,257.0,361.0,2.1
1089.0,57.7,472.0,17027.0,535.0,84.0,3.2
195.0,57.6,9511.0,977.0,37.0,99.0,1.2
524.0,57.6,2277.0,6139.0,0.0,12.0,4.6
1849.0,56.4,3178.0,38283.0,188.0,8.0,3.2
1002.0,56.3,2182.0,17316.0,28.0,17.0,1.5
186.0,55.4,2091.0,2402.0,9.0,12.0,3.9
91.0,54.9,22751.0,754.0,1.0,2.0,3.4
189.0,54.6,1513.0,4780.0,3.0,5.0,1.7
1652.0,54.5,2271.0,11067.0,17.0,4.0,1.3
277.0,53.0,10334.0,6465.0,13.0,4.0,3.4
584.0,52.9,11723.0,10470.0,79.0,40.0,1.6
721.0,52.2,16413.0,2961.0,10.0,5.0,1.5
140.0,52.1,19312.0,1555.0,33.0,7.0,826.0
1526.0,52.0,176130.0,2813.0,220.0,6.0,2.2
1195.0,51.9,147122.0,3328.0,19.0,4.0,2.6
436.0,51.1,2799.0,37358.0,128.0,126.0,2.5
759.0,50.6,12504.0,101825.0,428.0,314.0,2.5
255.0,50.3,56536.0,2416.0,94.0,8.0,1.6
5.0,49.7,1629.0,87.0,1.0,1.0,2.3
104.0,49.2,3728.0,966.0,30.0,13.0,1.9
566.0,48.9,1607.0,3837.0,3.0,4.0,2.3
155.0,48.8,5312.0,1720.0,20.0,19.0,1.7
230.0,47.3,2477.0,5558.0,72.0,12.0,1.8
190.0,47.3,4221.0,6684.0,119.0,32.0,1.4
65.0,47.3,4052.0,1345.0,11.0,8.0,2.6
313.0,47.2,574.0,3051.0,9.0,4.0,1.4
1854.0,47.2,1831.0,27917.0,237.0,21.0,2.2
1355.0,47.0,7804.0,50582.0,309.0,293.0,2.8
820.0,46.8,7686.0,5342.0,62.0,6.0,2.1
84.0,45.8,38176.0,1148.0,24.0,2.0,1.1
914.0,45.5,5448.0,24957.0,51.0,110.0,693.0
60.0,45.5,11913.0,789.0,60.0,3.0,973.0
103.0,45.4,2801.0,354.0,4.0,3.0,1.3
651.0,45.4,8265.0,25192.0,27.0,12.0,3.4
3973.0,45.0,3869.0,75943.0,239.0,45.0,2.6
917.0,45.0,494.0,5100.0,30.0,3.0,846.0
323.0,44.8,18018.0,9816.0,37.0,3.0,1.4
70.0,44.4,4452.0,364.0,2.0,1.0,720.0
220.0,44.4,376.0,2786.0,32.0,6.0,1.5
231.0,44.0,3250.0,1778.0,1.0,3.0,2.6
501.0,43.8,2371.0,4368.0,294.0,7.0,1.4
12.0,43.8,10315.0,807.0,17.0,10.0,1.0
208.0,43.6,2697.0,786.0,0.0,3.0,2.4
48.0,43.6,554.0,263.0,6.0,6.0,336.0
416.0,43.5,99158.0,1368.0,0.0,2.0,3.3
287.0,43.5,1661.0,7994.0,22.0,7.0,871.0
